回测开始
===========================================
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.75, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.65, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.15, 止损率: 0.6, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.9, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.85, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.8, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.75, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.65, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.9, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.75, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.85, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.8, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.8, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.8, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.8, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.8, 均线: ma60, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.8, 均线: ma45, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.75, 均线: ma5, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.75, 均线: ma10, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.75, 均线: ma20, 盈利: -101.00, 收益率: -0.10%
板块: 西藏板块, 止盈率: 1.35, 止损率: 0.75, 均线: ma30, 盈利: -101.00, 收益率: -0.10%
